drug_name,indication_name
duloxetine,disturbance in attention
fluoxetine,mental disability
dexamethasone,phagocytosis
allopurinol,renal impairment
docetaxel,oedema peripheral
l-dmp,chills
irbesartan,diabetic nephropathy
topiramate,nephrolithiasis
venlafaxine,tension
fluoxetine,choking sensation
propafenone,acute coronary syndrome
lovastatin,hepatocellular injury
penicillin,glomerulonephritis acute
sulindac,back pain
prednisone,sarcoidosis
acetazolamide,convulsion
paroxetine,menopausal symptoms
v,dermatitis atopic
v,arthritis
pravastatin,arteriosclerosis coronary artery
nicotine,coronary artery disease
cefuroxime,tracheobronchitis
ibuprofen,ear pain
dasatinib,cardiac disorder
buspirone,insomnia
doxorubicin,acute leukaemia
bromocriptine,infertility
dalteparin,embolism venous
docetaxel,metastatic neoplasm
cortisol,keratitis
acetaminophen,headache
warfarin,thrombosis
lenalidomide,myelodysplastic syndrome
carvedilol,foetor hepaticus
sertraline,liver disorder
venlafaxine,depersonalisation
l-dmp,obsessive rumination
aminophylline,left ventricular failure
paclitaxel,dyspnoea
cas,left ventricular dysfunction
captopril,myocardial infarction
progesterone,depression
celecoxib,injury
sertraline,mood swings
doxorubicin,malignant melanoma
celecoxib,ligament sprain
thalidomide,type 2 lepra reaction
fe(iii,iron deficiency
fluoxetine,panic reaction
clomiphene,vaginal haemorrhage
ibuprofen,influenza
cyclophosphamide,leukaemia monocytic
citalopram,cardiotoxicity
oxycodone,flushing
gabapentin,stevens-johnson syndrome
iodixanol,coronary artery disease
paroxetine,hypervigilance
paroxetine,compulsions
cefuroxime,hypersensitivity
venlafaxine,hypoaesthesia
irinotecan,colorectal cancer
fluoxetine,anxiety
fluoxetine,palpitations
prednisone,pemphigus
cortisone,polyuria
fluoxetine,discomfort
allopurinol,total hypoxanthine-guanine phosphoribosyl transferase deficiency
aripiprazole,psychotic disorder
retinoic,ulcer
pantoprazole,dyspepsia
amphotericin,blastomycosis
diltiazem,supraventricular tachycardia
ranitidine,obesity
ibuprofen,tenosynovitis
deferoxamine,renal failure chronic
quinaprilat,myocardial infarction
asenapine,parkinsonism
diazepam,stiff person syndrome
